,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state
1996,403 W University Ave,9lnuKe2KsTsg-tb8Kuxyvw,Champaign,40.1159274,-88.2112148,The Lincoln Lodge Urbana,61801,8,2.0,IL
2154,117 W Church St,Z7lIfcYVn1Ia5exVoSiNIw,Champaign,40.117989,-88.244428,No Regrets Tattoos & Body Piercing,61820,30,4.0,IL
2163,"3001 Research Rd, Ste D2",ryu1GpZY5b6cjkauOYzQNw,Champaign,40.1512863,-88.2763024,Ramjet,61822,3,5.0,IL
2198,500 E Peabody Dr,-V5TWGIPD8KYBr9fhq0h8Q,Champaign,40.101862,-88.2317371,Krannert Art Museum,61820,10,4.5,IL
2256,1905 Convenience Pl,B_dwXxYZvEL032j9kUHz9w,Champaign,40.1390757,-88.24319,Dentistry by Design,61820,3,1.0,IL
2309,"701 S Gregory St, Ste F",pCer-vIZM05p423MFmiSng,Urbana,40.106822678,-88.2217281018,Kofusion,61801,46,3.5,IL
2479,305 W Cedar St,hz18cj0wMLa5X9GVW-Un9A,Champaign,40.098735,-88.247069,Asian Noodle and Sushi,61820,13,4.0,IL
2686,2011 S. Neil St.,YG3cf30rN3K9H56-JOG6Iw,Champaign,40.091617,-88.2461407344,Starbucks,61820,21,3.0,IL
2705,906 W Bradley Ave,dxto9kHXtmuYIvm5aUxF9Q,Champaign,40.1275318,-88.2587356,Car-X Tire & Auto,61821,23,3.0,IL
2720,1604 N Cunningham Ave,k9UXfEISfhf0X7hHWNW4dg,Urbana,40.128357,-88.198476,Shear Impressions,61802,8,4.5,IL
2838,2600 S Stone Creek Blvd,2r2-SUffzmo22lvKSiIKvg,Urbana,40.0878951,-88.1694619,Stone Creek Golf Club,61802,3,4.0,IL
3113,"505 S Mattis Ave, Ste B",7C1g2lil87sbKI3TDCMzxA,Champaign,40.1114955,-88.2772066,The Blind Man,61821,6,4.0,IL
3148,"918 W Town Center Blvd, North Prospect",0r9T36NuaruZrCQt5gQ70A,Champaign,40.143138,-88.259614,Supercuts,61822,9,3.0,IL
3182,2400 W Bradley Ave,DNBKTu7qoN_18JIybyIVPw,Champaign,40.132309,-88.291262,William M Staerkel Planetarium,61821,4,4.0,IL
3192,601 N Cunningham,wCoAzScVWpL9bsDsyf1EIQ,Urbana,40.1182515363,-88.2044307038,McDonald's,61801,7,2.0,IL
3451,2010 N Neil St,y2V42mxWvVoH4NvUT_n8eg,Champaign,40.141131,-88.246249,Red Robin Gourmet Burgers,61820,67,2.5,IL
3504,1403 Regency Dr E,Lou0gX3Q_PAWV6n6vsrt1w,Savoy,40.0723459,-88.2540655,Montessori School of Champaign-Urbana,61874,5,5.0,IL
3518,1201 E Grove Ave,58UN6IFW7qRzCrDTfeV1yg,Rantoul,40.312897,-88.139857,County Market,61866,4,1.0,IL
3523,201 W University Ave,zs4G7HIQvUVaZoWqwpVeEw,Champaign,40.116051,-88.245719,Chase Bank,61820,4,4.0,IL
3736,607 N Cunningham Ave,BsxefnHbrpDN7HB2hJrEiw,Urbana,40.1186429,-88.2041528,Taco Motorizado,61802,42,4.5,IL
3829,"524 E Green St, Ste 101",N0sCW5e2VB-HLPkSMGYVfA,Champaign,40.1105412024,-88.2310540638,FedEx Office Print & Ship Center,61820,7,3.0,IL
3862,"309 E. Green Suite 103, Ste 103",ZIfL-jyfc2y-puyq3Rrndg,Champaign,40.110187,-88.233819,309 Green,61820,5,1.5,IL
3867,115 S Walnut St,pLBF8QrRkMicJcsjAqW7ag,Champaign,40.1154721496,-88.2432021594,Walnut Street Tea,61820,28,4.0,IL
3897,15 E University Ave,6UiBaTM6_ENF_L53C0CHTw,Champaign,40.1161936,-88.2428643,Brass Rail,61820,15,4.0,IL
3948,303 E Fairlawn Dr,Qw6MHH-2bTf0_y3eOh92xg,Urbana,40.103328,-88.204193,Comcast Service Center,61801,5,2.0,IL
3964,1430 S Neil St,ioQVijK0sYCVQHGDdfOZ5A,Champaign,40.0992869,-88.244153,Illini Pest Control,61820,3,3.0,IL
3977,1501 E Perkins Rd,FM6hRJtjDwNeZWa64wpdRg,Urbana,40.124499,-88.187988,Urbana Dog Park,61803,12,4.5,IL
4020,221 E Lincoln St,eNeBda4br3HMg15-_jwokA,Saint Joseph,40.1112277,-88.0414944,El Toro,61873,18,3.5,IL
4137,"1204 E Oak St, Bldg 2, Ste 1",9nD3Z5NgCa1EBUH4hJ0KaA,Mahomet,40.1888826,-88.3897043,Creature Comforts Animal Hospital,61853,4,3.0,IL
4484,"2018 N Prospect Ave, Town Center",m8lSbR6oLh5zw_IepTLhKg,Champaign,40.140669,-88.255187,Cost Cutters,61822,4,2.0,IL
4773,803 Iron Horse Ln,TLEO3CpoJ0R7UKHvRb8fVg,Monticello,40.049686,-88.567102,Monticello Red Wheel Restaurant,61856,14,3.0,IL
4785,2501 N Prospect Ave,i9M6oO2LMUrrEytHnHjyLA,Champaign,40.1451769,-88.258404,Kaiyo Japaneese Restaurant,61822,15,3.5,IL
4805,119 W Main St,T4IScPfP4ywj_dZAqWpxKg,Urbana,40.1124238,-88.2082406,Urbana Butcher Shop,61801,7,4.5,IL
4917,"2710 North Mattis Ave, Ste A",z1oAb6PNln0MN2FjOykPmg,Champaign,40.147369,-88.27632,All Things Kids,61822,7,3.0,IL
4933,1111 N Dunlap St,W9Gt3UGP4p1iERzohANcJw,Savoy,40.068499,-88.250135,CVS Pharmacy,61874,8,4.0,IL
5285,1417 S Neil St,2KyPvxkqIdJsLUjAsZBBhw,Champaign,40.099703,-88.24585,Homewood Suites By Hilton Champaign-Urbana,61820,30,4.5,IL
5335,411 West Hill St,-v8pj9maHRfGjZFf0vW79g,Champaign,40.118931,-88.2498634,Champaign Garden Inn,61820,4,4.5,IL
5496,1704 Philo Rd,yJlqyI_w9bQ3I2nCJNYLQQ,Urbana,40.0977862,-88.1903711,Caring Hands Animal Hospital,61802,13,4.0,IL
5550,202 S Broadway Ave,hEjYQlKcn-ClE5rbCN6RBQ,Urbana,40.1114134,-88.2068934,United States Post Office,61801,4,4.0,IL
5559,24 E Green St,NsHKS_H2EMBYT-7KLWqjxA,Champaign,40.110524,-88.241673,Voice KTV,61820,10,3.0,IL
5616,723 South Neil St,rl3giNEKOTwjE6BwpMZdOA,Champaign,40.1069966494,-88.2439256162,Crossroads Corner Consignment,61820,7,3.0,IL
5783,210 E Green St,WJZQgKGXbJWmDQb1Q0oqmw,Champaign,40.110531,-88.235856,RePhoned,61820,3,3.5,IL
5842,1401 Theodore Dr,fNfui5uodrkWgUb06M4QTw,Champaign,40.091098,-88.269419,Buttitta John the Tailor,61821,5,4.5,IL
5853,201 West Green St,i79atl7G7XpdfAX3ys1DMA,Urbana,40.1104508,-88.2091139,Klatt Properties,61801,4,1.0,IL
6100,1817 Ridings Dr,sreTMVo7iojXztJcf-qGRA,Monticello,40.053639,-88.5665865,Rick Ridings Ford,61856,12,3.0,IL
6276,608 S 6th St,o5Mofj5KJkYAMs_fhxftpg,Champaign,40.110832,-88.2301846,Seoul Taco,61820,70,3.5,IL
6349,2036 S Neil St,yDfOSuljYJdX9zftLbTbxw,Champaign,40.0906317389,-88.2455742365,Andy's Barber Shop,61820,32,4.0,IL
6404,1811 Moreland Blvd,E9HN0nA8eRsIBZYkL0H3xA,Champaign,40.1363554954,-88.251516223,Courtyard by Marriott Champaign,61822,21,3.0,IL
6421,415 N Neil St,vqEtZ7CtNB9G8WMzjwJA2g,Champaign,40.119807,-88.2438559,Wedge Tequila Bar & Grill,61820,125,3.5,IL
6514,306 E University Ave,9o8Zie2MHPwJFOkOsXbqPw,Champaign,40.11668,-88.235318,U-Haul Moving & Storage at University Ave,61820,22,2.0,IL
6596,65 E Market View Dr,smEBGmtg-U8Rxa2P2jKClQ,Champaign,40.136523445,-88.2398417465,Barnes & Noble Booksellers,61820,14,4.0,IL
6669,1000 Baytowne Dr,Np7CVNMwqQ-4X_OYQJnVEw,Champaign,40.140735,-88.262351,Baytowne Apartments,61822,4,4.0,IL
6686,2918 Crossing Ct,08dqV5JQhEiLwjR4sw8bHw,Champaign,40.0854332,-88.2944256,A Journey Esthetics,61822,3,5.0,IL
6688,2508 Galen Dr,wLcXsZYT12ovhj0wBe31Ew,Champaign,40.081166,-88.263092,Fitness Center,61821,3,4.5,IL
6689,40 E Anthony Dr,cFXbnUGRNYI4gVR2WIBHlQ,Champaign,40.1357033,-88.2396522,Toys R US,61820,7,2.5,IL
6786,612 Killarney St.,TMSLVs3BSutzuPZAD6jEUA,Urbana,40.133881,-88.2171691,Super 8 Urbana,61801,4,2.0,IL
6819,602 E Oaks Rd N,Ob9CnMkp-uLj5BEXdJGpWw,Urbana,40.14948,-88.201945,Urbana Plumbing & Heating,61802,3,5.0,IL
6886,"1902 N Prospect Ave, Ste 1",_9lnbDRvashBE9ey5gAJfg,Champaign,40.1384121985,-88.2571944594,Aspen Dental,61822,20,2.5,IL
7157,1513 N Highland,UF4ArQrlcpV-y0519g6UNA,Champaign,40.1320063,-88.2595395,Halfar Plumbing,61821,3,1.0,IL
7200,617 E Green St,MpAhuv_BBhYHDElgx1pD4g,Champaign,40.110041,-88.2296889,Qdoba Mexican Grill,61820,14,2.0,IL
7310,"601 S 1st St, Ste 102",d_Wm9CpzIo_0T-XLfq1UcA,Champaign,40.1111448,-88.2391289,The Hub Champaign,61820,63,3.0,IL
7350,"313 N Mattis Ave, Ste 106",44pzzXXYBtbC0QxHFosagw,Champaign,40.1135266294,-88.2459640503,Perfect Arch Salon,61820,63,4.5,IL
7352,116 Washington St,UPqjs8ksW3e3wF-U5SoA6A,Philo,40.0070911087,-88.1587987061,Daly's Sports Bar,61864,3,4.5,IL
7366,"313 E Green St, Ste 5",zV_aclADLjx2KOql9F_FTw,Champaign,40.109986,-88.233777,Crepe Cafe,61820,4,3.0,IL
7395,807 S Neil St,i9EHm7n2pvKoliAMmCth0w,Champaign,40.106749,-88.243715,Hansen & Co Barber Shop,61820,23,4.5,IL
7457,"1502 N Cunningham Ave, Ste 8",p1aZIYK6YRG2hFYLxxLtdQ,Urbana,40.1266649,-88.1978716,Urban Beauty & Fashion,61802,3,4.5,IL
7462,605 S Sixth St,w7v0_gmsAtZRmn6dL1Fqgw,Champaign,40.1107271,-88.2306438,Pokelab from Hawaii,61820,24,3.5,IL
7651,9 E Taylor St,tNot7SJRwpWNGCUaixcBaw,Champaign,40.1172781,-88.2428439,Dandelion Vintage & Used Clothing,61820,18,4.0,IL
7698,300 S Broadway Ave,0a9RDYet9uHLzban79z-Vw,Urbana,40.1106537,-88.2074643,Urbana Sweetcorn Festival,61801,4,2.0,IL
7815,303 S Neil St,OB9fA3C-7ppMH5mZFw71AQ,Champaign,40.1140121,-88.2440405,Champaign Surplus,61820,24,3.5,IL
7924,2302 S Neil St,0Tiq09V_kdMFPa1cL6I0AA,Champaign,40.0854477,-88.2461754,Culver's,61820,22,3.5,IL
7981,1304 N Cunningham Ave,pAR9IJFWTxKES1j-jPmghQ,Urbana,40.1257728,-88.1996609,Beaumont Animal Clinic,61802,10,4.5,IL
8073,1902 N Prospect Ave,afvFrFTwoeGzO3GZfDBHKw,Champaign,40.138569,-88.25732,AT&T Store,61822,5,3.5,IL
8284,44 E Sprinfield,5lw5rrhFMz-liykUn8dGSw,Champaign,40.112846,-88.240511,Fernando's Food,61820,39,5.0,IL
8304,2435 Village Green Pl,Z45CFc9i5vnhNjQhrpdfog,Champaign,40.0827962,-88.2965905,Gailey Eye Clinic,61822,5,4.0,IL
8458,101 E Springfield Ave,zPPw_vUatLmvnRpW1OoX6w,Champaign,40.1121971,-88.2384927,Am-Ko Oriental Foods & Gifts,61820,28,4.0,IL
8469,1511 W Springfield Ave,DSiLqPi_2AoY6UsZRKez0g,Champaign,40.1125152,-88.2715751,Junior's Burger & Custard,61821,8,3.5,IL
8518,709 W Green St,OayEFsHTrtc_px-W9n3rWg,Urbana,40.110366,-88.216988,Gillespie Management,61801,5,4.0,IL
8625,2000 N Neil St,n-7XCcAAXQkSZnq-ch0Hlg,Champaign,40.1425481,-88.2427717,"Kevin Glancy, OD",61820,3,2.5,IL
8704,712 N Hickory St,sXnv-pUFsJLk9v9WlRiGIA,Champaign,40.118538,-88.197115,Bash-Pepper Roofing Company,61820,5,3.5,IL
9021,2202 S Neil St,eeZmALTX-rhRw_8CEgAm0A,Champaign,40.087261,-88.2460119,Elegant Nails Lounge,61820,27,3.5,IL
9049,1908 N Lincoln Ave,Y1FmaM4sR6mII_06op7jnw,Urbana,40.130801,-88.219035,Sleep Inn Champaign Urbana - University Area,61801,13,2.5,IL
9060,105 W John St,P5xmAll95cWKs0EzwYdEYA,Champaign,40.1084268,-88.2442009,Dixon Graphics,61820,5,5.0,IL
9187,2022 Philo Rd,npeqDhA_o-dvwoWE7pF5Xg,Urbana,40.0930313,-88.1906486,Pro Nails,61802,15,4.0,IL
9236,346 N Neil St,Wde8Ar4-guQU96FrNYED8g,Champaign,40.1194691,-88.2425055,Orpheum Children's Science Museum,61820,15,3.0,IL
9260,"1903 N Neil St, Unit D",aaJ-RaUdHyB4R3U4qNbRBA,Champaign,40.1392818536,-88.2446583173,Lovely Nails,61820,15,4.0,IL
9262,715 S Neil St,bDnnRwFY9vCVTvnuI-n3eg,Champaign,40.1076541,-88.2440144,Bob's Pet Grooming,61820,3,3.5,IL
9300,1800 S 1st St,V7CbZXLAG_wg-wZfQxCZcA,Champaign,40.0965462354,-88.2357792559,Assembly Hall,61820,9,4.0,IL
9744,33 E Main St,WdLhSeiF4VImXkc14gnC9g,Champaign,40.1179365,-88.2416688,Jos. Kuhn & Co,61820,4,4.0,IL
9749,2111 W Park Ct,4zW4FCsIk-84Yq49iXVuxA,Champaign,40.1173716,-88.2841681,Advanced Aesthetics Surgery & Laser Center,61821,5,3.5,IL
9868,,Jp46qQ4SJ1RxMAyJQdITvQ,Champaign,40.1064071,-88.2434223,Orange Express Taxi,61820,12,2.5,IL
9899,608 S Country Fair Dr,LMwmAg_HZWDlynnIkGPnVQ,Champaign,40.1098049,-88.2824013,Anderson Automotive,61821,7,5.0,IL
9913,77 E University Ave,YVXI1IDeu3QQK5qI3Zaw-Q,Champaign,40.1169398589,-88.2390975952,Byers Vacuum Cleaner Sales & Service,61820,4,4.5,IL
9916,109 Lake St,f5Pg89x-2xek78E9KHMhNg,Rouses Point,44.9931808,-73.3641541,Lakeside Coffee,12979,17,4.5,NY
9919,1714 Lynwood Dr,bJNca7ynlOATlwgYumidsw,Champaign,40.095356,-88.259703,The King Roofing,61832,3,2.5,IL
10025,,eNZszXSug_HjImz0yQrbdA,Champaign,40.1211828,-88.2434596,Christie Clinic Illinois Marathon,61824,10,4.5,IL
10081,1401 W Green St,2e5Q-0Pr23NFEhgpYG8cFw,Urbana,40.1097387,-88.2273147,Crepe De Licious,61801,9,2.0,IL
10186,1 E Main St,uGwwPkw2AEvKkVHiSufhzQ,Champaign,40.1182231,-88.2435515,Jim Gould,61820,46,3.5,IL
10384,2000 N Neil St,G5rcpDkrSSP253UeV2ESWA,Champaign,40.1427776,-88.243865,Sears Auto Center,61820,3,2.5,IL
10763,915 W. Marketview Dr.,pjO0ZRGpCwlaOzipZDa3HA,Champaign,40.13886,-88.26423,Sam's Club,61821,22,3.0,IL
10813,801 N Dunlap Ave,42sGOp3T7mR8joyzLt4g2A,Savoy,40.064369,-88.2507195,The Senators Inn & Pub,61874,12,4.0,IL
10818,"206 N Randolph St, Ste 501",DuyBfbcffclckF_0prChpQ,Champaign,40.1180024,-88.2449119,Body Therapy Center,61820,17,5.0,IL
10917,901 W Pennsylvania Ave,zLTacjiwYO-_ivAWkpjcIQ,Urbana,40.1002986,-88.2198009,J.Y. Chang's,61801,3,4.5,IL
10929,809 S Wright St,JErSU_Mc85FW7YTg2_AtDw,Champaign,40.108267,-88.229129,Starbucks,61820,3,2.0,IL
11028,1900 Round Barn Rd,b3qhOCXM_vpPsginjyP9Hg,Champaign,40.1118938,-88.2780325,Famous Dave's,61821,3,3.0,IL
11295,"616 E Green St, Ste F",t6ufZ29wxZ9_zYO5DRPgwA,Champaign,40.1105931,-88.2296109,Smoothie King,61820,3,2.5,IL
11335,"2204 W John St, Unit B",uqBjt4GwuUi4voeBSDleRQ,Champaign,40.1096628,-88.2836172,T&G Construction and Maintenance,61821,12,5.0,IL
11379,1235 E Grove Ave,nrGop3jH9s3cq-RTiEWOGQ,Rantoul,40.313236,-88.1381107,China Express,61866,11,2.5,IL
11539,2006 W Springfield Ave,FUr2uEolARu7rv2TQYKPqg,Champaign,40.113247,-88.2819785,Za's Italian Cafe,61821,48,3.5,IL
11571,"202 E University Ave, Ste C",-5NXoZeGBdx3Bdk70tuyCw,Urbana,40.11771,-88.2059038,Po' Boys Restaurant,61801,64,4.0,IL
11577,118 Lincoln Square,POuzQLJuPWx0i-dUNdRsWQ,Urbana,40.1112398,-88.2072019,International Galleries,61801,9,4.5,IL
11791,100 N Chestnut St,Y6zO_4vMO2KLPuNJNneROw,Champaign,40.116637,-88.2407119,Dandelion Vintage & Used Clothing,61820,4,4.0,IL
11939,913 W Marketview Dr,4VYi3I-nVttZeOmrGEXHjQ,Champaign,40.1379325,-88.2638221,Wal-Mart,61822,4,2.0,IL
11988,401 E Green St,nf8cdI8ntEBHHklZq2uuJA,Champaign,40.110008,-88.233253,FOUR,61820,4,4.0,IL
12086,409 W Universiy Ave,bMEev3B405vXG2SJthbcBw,Urbana,40.1162085,-88.2122981,America's Best Inns and Suites,61801,11,2.0,IL
12126,2020 S Neil St,aR0kTa6WEFROLY5dJ4cmrg,Champaign,40.0911827807,-88.2454472727,Green Onion,61820,19,3.5,IL
12227,1913 W Springfield Ave,yRKrMWQxQaMeR18s5ajcYw,Champaign,40.1124216,-88.2794573,Arby's,61821,5,2.0,IL
12259,"2860 S Philo Rd, Ste G",zkyv7PMMqFN_B7-Zp1l1aA,Urbana,40.0821576,-88.1888924,Breathe In Spa,61802,3,5.0,IL
12284,202 Devonshire Dr,6mYtRm6smtgt29hLxt1vDA,Champaign,40.090027,-88.247316,Haymakers,61820,11,5.0,IL
12622,"217 South Neil St, Ste B",TqDhk2CKEKU7r-dD2gp_eA,Champaign,40.1149571043,-88.2437170576,Next Chapter Properties,61820,10,2.5,IL
12655,1615 Rion Drive,1J4xQAz-4MfOmyFoyKIRZA,Champaign,40.1591044,-88.272464,Microtel Inn & Suites By Wyndham Champaign,61822,9,2.0,IL
12678,505 E Green St,w2xwgqHM7dJlHfyu4ouhBg,Champaign,40.1099251,-88.2314617,Azzip Pizza,61820,49,4.5,IL
12736,,KKOuKBbU5ksSuyCT6EUD5A,Champaign,40.1166102,-88.2412504,A Hunt Design,61820,13,5.0,IL
12996,605 E Main St,p9yfzM_lO-FWKX7Bx1FnEg,Urbana,40.1126522,-88.2006301,New Prairie Construction,61802,3,3.5,IL
13020,1905 Glenn Park Dr,s173l3ubdDLHeFIBO3ydrw,Champaign,40.118884,-88.2782405,La Bamba,61821,30,3.0,IL
13063,"30 E Green St, Ste 1",QtZry_s3LGRhxpIpqezf0w,Champaign,40.1105019,-88.241184,"Thomas E Standley, DMD",61820,11,4.5,IL
13143,1809 Philo Rd,8vic1pbUTvBMG_fYlvC_SQ,Urbana,40.0960958,-88.192313,Planet Fitness,61802,5,5.0,IL
13157,1401 W Green St,D5AKoOMZh19ugKa3lrIgJA,Urbana,40.1097387,-88.2273147,Illini Union Tech Zone,61801,4,1.0,IL
13231,2208 Tamarack Dr,dYG5gBOwq4t8xxPMqFKvJA,Champaign,40.0893916,-88.2826198,Masterspec Home Inspection Service,61821,3,5.0,IL
13256,314 W Kirby Ave,8n1Bf-bpu6NYyUcGLMLZow,Champaign,40.0982724,-88.2483831,Hessel Park Family Dentistry,61820,15,3.0,IL
13523,505 E University Ave,E4t43bnsfeOY2bv_8IPmSw,Champaign,40.116061,-88.231376,Prime Time Pizza,61820,13,2.5,IL
13620,1614 North Lincoln Ave,MAKV_ZbhTcVA-IcdjKYhRQ,Urbana,40.1284668,-88.2187673,Hutchcraft Van Service,61801,9,2.5,IL
13637,202 S Broadway Ave,ecOBYL1FoVAt4fGzpxYkdQ,Urbana,40.111405,-88.2068934,Urbana Champaign Independent Media Center,61801,3,4.0,IL
13677,907 N Country Fair Dr,ZpPd9a-Tv_NGXh8P1ivjzA,Champaign,40.1247088,-88.2809424,Starr Limousine,61821,4,2.5,IL
13768,1201 North Prospect Ave.,A0HKRA8CzF7r66JCFpCoFw,Champaign,40.1276218,-88.2582738,Jiffy Lube,61821,11,2.0,IL
13818,"505 S Neil St, Ste 8",8DXMeoz5BRqDMx9Dp3Qy1A,Champaign,40.1110535,-88.2441408,K-On Karaoke,61820,3,2.5,IL
14041,611 E Green St,DS3-yphtWDHAdXLtIoqdAA,Champaign,40.110039,-88.229804,The Pita Pit,61820,3,3.5,IL
14162,1822 Glenn Park Dr,obeDcVrK5xACPD5PiGgG_Q,Champaign,40.119643,-88.2786431,Insty-Prints Business Printing Services,61821,3,4.0,IL
14292,201 Devonshire Dr,1EoXJGJhJsByeBjjj817Sg,Champaign,40.0894302,-88.2483239,Illinois American Water Company,61820,4,2.0,IL
14410,202 Eastwood Dr,ihv1VafxDITsnYsn0ug4tQ,Mahomet,40.1961495,-88.3951619,Mahomet Iga,61853,7,2.5,IL
14549,102 W University Ave,nlu8cGG9oNp4oKulbwk6pQ,Urbana,40.1167992,-88.2078652,Red's Muffler Shop,61801,12,4.5,IL
14551,1503 South Maryland Ave,HLTy85yV2H8Wj3LlC_kQxw,Urbana,40.0991849,-88.2230285,Meat Science Laboratory,61801,23,4.5,IL
14720,2506 Village Green Pl,1p6qHrapvuKpbZGLT9qskw,Champaign,40.0818267,-88.2960518,El Patio,61822,36,4.0,IL
14817,49 E Green St,YJ8Ehqq4Jr2_xmtRe5aXLQ,Champaign,40.1097873,-88.2404819,Mirsung,61820,12,3.5,IL
14837,501 W Kenyon Rd,bd_qQhLpRvcd1rL8XR5Sag,Champaign,40.1337732,-88.2495407,Gallo-Miller Paint & Collision Repair,61820,9,4.5,IL
14851,1715 W Kirby,SgG5E7PUrCIsEMP0BVSlTg,Champaign,40.0975748,-88.274709,Cheese and Crackers,61821,75,4.0,IL
15148,607 E Green St,N_W4JlpCw02VPSf5Mrxwqg,Champaign,40.1100591,-88.2300103,Dunkin' Donuts,61820,8,3.5,IL
15179,103 W Marketview Dr,iO86eCaZJBHqi1sZ1ELk6A,Champaign,40.1375274658,-88.245300293,TGI Fridays,61820,61,3.0,IL
15359,1605 W Springfield Ave,40Uv2fqNecbqk0ruo7DIDA,Champaign,40.112507,-88.273278,TMS Auto Care,61821,11,4.5,IL
15366,102 N Vine Street,5jak2hYO5ikUzjm-Ytao5A,Urbana,40.112939,-88.2046272,Starbucks,61802,29,2.5,IL
15445,106 S Country Fair Dr,1kFIdGb-ej5hYuvGbd8MUw,Champaign,40.115532,-88.281035,Elite Bridal Shop,61821,11,4.5,IL
15517,1910 West Springfield,hxlfoblUAzNSOszKlyaV6g,Champaign,40.112702,-88.278467,Taco Bell,61821,17,2.5,IL
15840,114 N Walnut St,LW21U6m6axC2lCLYc0fFSA,Champaign,40.116833,-88.242223,Cream & Flutter,61820,190,3.5,IL
16005,"1704 S Neil St, Ste B",VjlZNQkHc7BF7F4rVSvR4w,Champaign,40.0956578,-88.244726,Bowie Chiropractic,61820,5,4.0,IL
16012,709 S Wright St,6U8Yniq8cMQcedhs040ZoA,Champaign,40.109995,-88.22911,Moonstruck Chocolate Cafe,61820,12,3.0,IL
16021,715 W Champaign St,v_xTE55R62m7riTP7nWgAA,Rantoul,40.30798092,-88.1778450041,Taco Bell,61866,11,1.5,IL
16084,905 S Neil St,37lf3dMIjOBsA2f1GNAQNQ,Champaign,40.1052106,-88.2439082,Minuteman Press,61820,5,5.0,IL
16094,2506 Village Green Pl,zUayeEQ3_1fM_71X_1PdGQ,Champaign,40.0818267,-88.2963454,Let's Take a Seat: Thai Cuisine,61822,32,3.5,IL
16103,1109 N Goodwin Ave,FOSsY1OO0hTxro91Z0GOHQ,Urbana,40.122974,-88.224435,1 Man 2 Hands,61801,7,4.5,IL
16210,601 E University Ave,r0LC6H87QKBj2TZgyeFrkw,Champaign,40.1160151,-88.2301691,Car-X Tire & Auto,61820,13,3.5,IL
16360,4010 Colleen Dr,7PH-QDcIpI9-L_LISkLkjg,Champaign,40.1092057,-88.3111364,Art In Motion Dance Studio,61822,3,3.0,IL
16533,50 E Green St,t952QLgrh-5l1woJ4IFgUA,Champaign,40.1105507,-88.2399953,Vinny's By The Slice & More,61820,64,3.5,IL
16596,115 S 1st St,gWZOW4-8N5dLixQAlp8iRg,Champaign,40.1158162,-88.2390064,Manzellas Italian Restaurant,61820,32,3.0,IL
16737,903 N Church St,iKH0466yPmflu8oPhspusw,Thomasboro,40.2483073,-88.1839518,Hoveln Heating & Cooling,61878,3,3.5,IL
16985,3510 W Bloomington Rd,B51Syvxp0Jlm2RBY4vwocA,Champaign,40.1556385,-88.3042431,Moore Trees,61822,3,3.0,IL
